Residential	images/2750/Residential/Residential_2096.jpg
SeaLake	images/2750/SeaLake/SeaLake_2218.jpg
Highway	images/2750/Highway/Highway_800.jpg
HerbaceousVegetation	images/2750/HerbaceousVegetation/HerbaceousVegetation_2978.jpg
Residential	images/2750/Residential/Residential_2007.jpg
Highway	images/2750/Highway/Highway_629.jpg
HerbaceousVegetation	images/2750/HerbaceousVegetation/HerbaceousVegetation_1068.jpg
Highway	images/2750/Highway/Highway_38.jpg
Industrial	images/2750/Industrial/Industrial_1225.jpg
Industrial	images/2750/Industrial/Industrial_1824.jpg
Forest	images/2750/Forest/Forest_1901.jpg
Residential	images/2750/Residential/Residential_28.jpg
HerbaceousVegetation	images/2750/HerbaceousVegetation/HerbaceousVegetation_764.jpg
Pasture	images/2750/Pasture/Pasture_1300.jpg
AnnualCrop	images/2750/AnnualCrop/AnnualCrop_387.jpg
AnnualCrop	images/2750/AnnualCrop/AnnualCrop_1754.jpg
Industrial	images/2750/Industrial/Industrial_2108.jpg
HerbaceousVegetation	images/2750/HerbaceousVegetation/HerbaceousVegetation_655.jpg
Highway	images/2750/Highway/Highway_1107.jpg
Pasture	images/2750/Pasture/Pasture_85.jpg
